ps	codeGained	ps_name_gained	gained_clusters	gained_genes	codeLost	ps_name_lost	lost_clusters	lost_genes	cval	spec_code
3	154	node3	667	99502	154	node3	51	441	11	22
4	155	node4	515	51497	155	node4	20	120	11	22
5	156	node5	2349	135569	156	node5	14	94	11	22
6	157	node6	666	31539	157	node6	241	1947	11	22
7	158	node7	4311	138045	158	node7	42	325	11	22
8	159	node8	4313	71478	159	node8	472	11227	11	22
9	160	node9	212	2197	160	node9	4810	136631	11	22
10	161	node10	459	4811	161	node10	409	17110	11	22
11	162	node11	101	1876	162	node11	1256	29240	11	22
12	163	node12	172	2106	163	node12	360	10342	11	22
13	164	node13	720	11863	164	node13	600	25941	11	22
14	165	node14	370	3390	165	node14	1347	38830	11	22
15	166	node15	116	1621	166	node15	2128	57166	11	22
16	22	Dste	1228	2459	22	Dste	6991	573671	11	22
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	23
2	152	node1	2647	391089	NA	NA	NA	NA	11	23
3	154	node3	667	99502	154	node3	51	441	11	23
4	155	node4	515	51497	155	node4	20	120	11	23
5	156	node5	2349	135569	156	node5	14	94	11	23
6	157	node6	666	31539	157	node6	241	1947	11	23
7	158	node7	4311	138045	158	node7	42	325	11	23
8	159	node8	4313	71478	159	node8	472	11227	11	23
9	160	node9	212	2197	160	node9	4810	136631	11	23
10	161	node10	459	4811	161	node10	409	17110	11	23
11	162	node11	101	1876	162	node11	1256	29240	11	23
12	163	node12	172	2106	163	node12	360	10342	11	23
13	164	node13	720	11863	164	node13	600	25941	11	23
14	165	node14	370	3390	165	node14	1347	38830	11	23
15	185	node34	80	386	185	node34	4239	164801	11	23
16	186	node35	140	644	186	node35	2303	94720	11	23
17	23	Smar	1726	2521	23	Smar	2248	233084	11	23
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	24
2	152	node1	2647	391089	NA	NA	NA	NA	11	24
3	154	node3	667	99502	154	node3	51	441	11	24
4	155	node4	515	51497	155	node4	20	120	11	24
5	156	node5	2349	135569	156	node5	14	94	11	24
6	157	node6	666	31539	157	node6	241	1947	11	24
7	158	node7	4311	138045	158	node7	42	325	11	24
8	159	node8	4313	71478	159	node8	472	11227	11	24
9	160	node9	212	2197	160	node9	4810	136631	11	24
10	161	node10	459	4811	161	node10	409	17110	11	24
11	162	node11	101	1876	162	node11	1256	29240	11	24
12	163	node12	172	2106	163	node12	360	10342	11	24
13	164	node13	720	11863	164	node13	600	25941	11	24
14	165	node14	370	3390	165	node14	1347	38830	11	24
15	185	node34	80	386	185	node34	4239	164801	11	24
16	186	node35	140	644	186	node35	2303	94720	11	24
17	24	Rimm	3512	5384	24	Rimm	497	45513	11	24
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	25
2	152	node1	2647	391089	NA	NA	NA	NA	11	25
3	154	node3	667	99502	154	node3	51	441	11	25
4	155	node4	515	51497	155	node4	20	120	11	25
5	156	node5	2349	135569	156	node5	14	94	11	25
6	157	node6	666	31539	157	node6	241	1947	11	25
7	158	node7	4311	138045	158	node7	42	325	11	25
8	159	node8	4313	71478	159	node8	472	11227	11	25
9	160	node9	212	2197	160	node9	4810	136631	11	25
10	161	node10	459	4811	161	node10	409	17110	11	25
11	162	node11	101	1876	162	node11	1256	29240	11	25
12	163	node12	172	2106	163	node12	360	10342	11	25
13	164	node13	720	11863	164	node13	600	25941	11	25
14	165	node14	370	3390	165	node14	1347	38830	11	25
15	185	node34	80	386	185	node34	4239	164801	11	25
16	187	node36	169	502	187	node36	1645	108485	11	25
17	25	Hhol	2907	5598	25	Hhol	1459	117842	11	25
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	26
2	152	node1	2647	391089	NA	NA	NA	NA	11	26
3	154	node3	667	99502	154	node3	51	441	11	26
4	155	node4	515	51497	155	node4	20	120	11	26
5	156	node5	2349	135569	156	node5	14	94	11	26
6	157	node6	666	31539	157	node6	241	1947	11	26
7	158	node7	4311	138045	158	node7	42	325	11	26
8	159	node8	4313	71478	159	node8	472	11227	11	26
9	160	node9	212	2197	160	node9	4810	136631	11	26
10	161	node10	459	4811	161	node10	409	17110	11	26
11	162	node11	101	1876	162	node11	1256	29240	11	26
12	163	node12	172	2106	163	node12	360	10342	11	26
13	164	node13	720	11863	164	node13	600	25941	11	26
14	165	node14	370	3390	165	node14	1347	38830	11	26
15	185	node34	80	386	185	node34	4239	164801	11	26
16	187	node36	169	502	187	node36	1645	108485	11	26
17	26	Gmae	2849	3625	26	Gmae	1103	99505	11	26
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	27
2	152	node1	2647	391089	NA	NA	NA	NA	11	27
3	154	node3	667	99502	154	node3	51	441	11	27
4	155	node4	515	51497	155	node4	20	120	11	27
5	156	node5	2349	135569	156	node5	14	94	11	27
6	157	node6	666	31539	157	node6	241	1947	11	27
7	158	node7	4311	138045	158	node7	42	325	11	27
8	159	node8	4313	71478	159	node8	472	11227	11	27
9	160	node9	212	2197	160	node9	4810	136631	11	27
10	161	node10	459	4811	161	node10	409	17110	11	27
11	162	node11	101	1876	162	node11	1256	29240	11	27
12	163	node12	172	2106	163	node12	360	10342	11	27
13	164	node13	720	11863	164	node13	600	25941	11	27
14	188	node37	12	61	188	node37	5292	188607	11	27
15	189	node38	144	957	189	node38	1178	39879	11	27
16	190	node39	45	349	190	node39	455	35802	11	27
17	191	node40	27	81	191	node40	1051	68940	11	27
18	27	Ptep	1207	2234	27	Ptep	1157	117545	11	27
