representative	minTaxID
pid|0000000000000065341|tx|65|	10000001
pid|0000000000000653210|tx|65|	10000001
pid|0000000000000065614|tx|65|	10000001
pid|0000000000000658096|tx|65|	10000001
pid|0000000000000065209|tx|65|	10000001
pid|0000000000000651271|tx|65|	10000001
pid|0000000000000652321|tx|65|	10000001
pid|0000000000000654330|tx|65|	10000001
pid|0000000000000658479|tx|65|	10000001
pid|0000000000000065213|tx|65|	10000001
pid|0000000000000653237|tx|65|	10000001
pid|0000000000000656982|tx|65|	10000001
pid|0000000000000659143|tx|65|	10000001
pid|0000000000000652832|tx|65|	10000001
pid|0000000000000655430|tx|65|	10000001
pid|0000000000000655953|tx|65|	10000001
pid|0000000000006511365|tx|65|	10000001
pid|0000000000000065667|tx|65|	10000001
pid|0000000000000651514|tx|65|	10000001
pid|0000000000000652354|tx|65|	10000001
pid|0000000000006515600|tx|65|	10000001
pid|0000000000006511532|tx|65|	10000001
pid|0000000000006511086|tx|65|	10000001
pid|0000000000006514732|tx|65|	10000001
pid|0000000000001481368|tx|148|	10000001
pid|0000000000000065690|tx|65|	10000001
pid|0000000000000651572|tx|65|	10000001
pid|0000000000000653901|tx|65|	10000001
pid|0000000000000651858|tx|65|	10000001
pid|0000000000000654079|tx|65|	10000001
pid|0000000000000657224|tx|65|	10000001
pid|0000000000000653818|tx|65|	10000001
pid|0000000000000065156|tx|65|	10000001
pid|0000000000000659591|tx|65|	10000001
pid|0000000000000657172|tx|65|	10000001
pid|0000000000000657013|tx|65|	10000001
pid|0000000000006510183|tx|65|	10000001
pid|0000000000006513250|tx|65|	10000001
pid|0000000000000065613|tx|65|	10000001
pid|0000000000000655764|tx|65|	10000001
pid|0000000000000065193|tx|65|	10000001
pid|0000000000011313841|tx|113|	10000001
pid|0000000000000652713|tx|65|	10000001
pid|0000000000000659190|tx|65|	10000001
pid|0000000000000652663|tx|65|	10000001
pid|0000000000000655420|tx|65|	10000001
pid|0000000000006517314|tx|65|	10000001
pid|0000000000000657580|tx|65|	10000001
pid|0000000000006510828|tx|65|	10000001
pid|0000000000006514835|tx|65|	10000001
pid|0000000000000006569|tx|65|	10000001
pid|0000000000000065386|tx|65|	10000001
pid|0000000000000654003|tx|65|	10000001
pid|0000000000000065106|tx|65|	10000001
pid|0000000000000654859|tx|65|	10000001
pid|0000000000000655855|tx|65|	10000001
pid|0000000000000065429|tx|65|	10000001
pid|0000000000000653808|tx|65|	10000001
pid|0000000000000658949|tx|65|	10000001
pid|0000000000006511784|tx|65|	10000001
pid|0000000000000651681|tx|65|	10000001
pid|0000000000000652981|tx|65|	10000001
pid|0000000000000656030|tx|65|	10000001
pid|0000000000006510423|tx|65|	10000001
pid|0000000000000652861|tx|65|	10000001
pid|0000000000000654521|tx|65|	10000001
pid|0000000000000652750|tx|65|	10000001
pid|0000000000000653353|tx|65|	10000001
pid|0000000000000654460|tx|65|	10000001
pid|0000000000000651378|tx|65|	10000001
pid|0000000000006515142|tx|65|	10000001
pid|0000000000006515592|tx|65|	10000001
pid|0000000000006518793|tx|65|	10000001
pid|0000000000000065807|tx|65|	10000001
pid|0000000000000651733|tx|65|	10000001
pid|0000000000000653057|tx|65|	10000001
pid|0000000000000656631|tx|65|	10000001
pid|0000000000000652686|tx|65|	10000001
pid|0000000000000659234|tx|65|	10000001
pid|0000000000000654582|tx|65|	10000001
pid|0000000000000065319|tx|65|	10000001
pid|0000000000000659781|tx|65|	10000001
pid|0000000000006513770|tx|65|	10000001
pid|0000000000000065234|tx|65|	10000001
pid|0000000000000654744|tx|65|	10000001
